relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
org.jfree.chart.entity.XYAnnotationEntity,2,5,3,8,6.75,3.5,6,2,4,4,26,4,0,4,6,32,14,21,13,2,28,3,22,2,0.18115942,0.5,1,2,0,0,6,2,26,0,31,30,1,0,0,0,0
org.jfree.chart.renderer.xy.XYAreaRenderer,3.136363636,27,16,69,15.27272727,10.81818182,83,13,22,22,241,22,2,20,29,361,238,251,164,3,241,17,219,3,0.443551587,5.090909091,26,112,1,1,173,76,526,111,417,346,37,60,11,3,0
org.jfree.chart.renderer.xy.XYAreaRenderer2,2.416666667,8,8,29,15.5,11.58333333,73,3,12,12,233,12,2,10,20,192,139,132,81,3,235,9,221,3,0.340575397,5.583333333,21,67,1,1,130,55,478,75,410,340,22,2,8,11,0
org.jfree.data.xy.XYBarDataset,1.318181818,5,18,29,4.409090909,2.090909091,7,2,22,22,46,22,0,22,31,102,46,71,39,5,42,12,24,5,0.554449472,0.727272727,6,16,0,0,5,3,15,0,51,51,1,0,1,0,0
org.jfree.chart.renderer.xy.XYBarRenderer,2.829787234,26,34,133,12.82978723,8.319148936,86,16,43,47,264,47,7,40,72,634,391,403,263,3,263,40,217,3,0.444795296,3.553191489,34,167,3,2,244,105,716,159,455,379,69,58,40,10,0
org.jfree.chart.renderer.xy.XYBlockRenderer,2.866666667,10,5,43,12.73333333,8.266666667,76,6,15,15,235,15,1,14,18,200,124,129,91,3,235,11,220,3,0.401785714,3.533333333,17,53,1,1,79,38,328,63,412,347,16,1,4,0,0
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,2.826086957,21,16,65,16.7826087,11.95652174,75,5,23,23,244,23,9,14,59,394,275,258,152,3,245,20,221,3,0.353670635,4.130434783,22,95,2,1,192,72,455,125,444,369,56,5,31,22,0
org.jfree.chart.annotations.XYBoxAnnotation,2.555555556,11,7,23,12.77777778,8.444444444,12,8,9,9,31,9,2,7,27,126,76,90,61,3,31,5,22,3,0.342948718,2.888888889,12,26,3,2,61,24,341,49,55,49,20,1,0,0,0
org.jfree.chart.renderer.xy.XYBubbleRenderer,4.142857143,13,3,29,23.28571429,17.71428571,75,5,7,7,228,7,0,7,15,171,124,114,69,3,229,4,221,3,0.315575397,9.285714286,20,65,0,0,159,54,329,75,403,332,19,2,13,3,0
org.jfree.data.xy.XYCoordinate,2.125,6,6,17,7.625,4.375,2,2,8,8,16,8,0,8,4,65,35,45,30,1,15,5,8,1,0.22979798,0,3,0,0,0,0,0,0,0,16,16,0,0,0,0,0
org.jfree.chart.util.XYCoordinateType,2.5,4,2,10,7.75,4.25,4,4,4,4,13,4,2,2,2,40,17,26,16,1,13,2,9,1,0.171717172,0,1,0,3,1,0,0,0,0,13,13,0,40,0,0,0
org.jfree.chart.plot.XYCrosshairState,1,1,1,1,2,0,10,0,1,1,36,1,0,1,0,4,0,2,0,2,39,1,35,2,0.111111111,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,0
org.jfree.chart.annotations.XYDataImageAnnotation,1.8125,10,13,29,7.9375,4.75,10,6,16,16,38,16,2,14,21,136,76,93,54,3,38,12,22,3,0.365384615,1.25,15,20,1,1,46,18,180,34,57,52,19,136,0,0,0
org.jfree.data.xy.XYDataItem,1.8,6,9,27,6.733333333,3.6,4,4,15,15,23,15,0,15,10,107,54,71,44,1,22,12,8,1,0.244755245,0.133333333,8,2,0,0,6,2,11,6,25,25,0,19,2,0,0
org.jfree.data.xy.XYDatasetTableModel,1.7,3,5,17,5.7,2.8,1,1,10,10,21,10,0,10,11,61,28,38,26,2,24,10,11,2,0.202020202,0.7,6,7,0,0,0,0,0,0,21,21,1,0,0,0,0
org.jfree.chart.renderer.xy.XYDifferenceRenderer,3.84,28,14,96,26.4,20.36,76,6,25,25,244,25,7,18,60,669,509,468,325,3,243,20,219,3,0.378869048,4.92,27,123,3,2,218,78,668,131,427,356,71,2,30,23,0
org.jfree.chart.renderer.xy.XYDotRenderer,2.384615385,7,7,31,10.84615385,7.153846154,74,4,13,13,234,13,2,11,19,148,93,102,62,3,235,10,221,3,0.342848124,3.538461538,17,46,1,1,83,38,389,45,409,339,20,1,6,8,0
org.jfree.chart.annotations.XYDrawableAnnotation,2.833333333,10,3,17,16,11,11,7,6,6,28,6,0,6,19,106,66,72,45,3,28,2,22,3,0.301282051,2.5,12,15,0,0,32,14,162,20,46,41,12,1,1,0,0
