relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,ADD,MOD,DEL,bug
math.optimization.linear.SimplexTableau,2.59375,12,17,83,9.3125,5.78125,14,14,31,32,41,32,26,6,32,316,185,233,139,1,41,1,30,9,1,0.221896383,2.5625,20,82,130,60,258,130,118,67,10,23,1,1
math.analysis.integration.SimpsonIntegrator,2.5,5,1,10,11.75,6.25,13,1,4,4,29,4,1,3,6,51,25,29,16,2,31,2,3,25,2,0.179487179,6,9,24,45,20,135,30,60,46,22,14,15,0
math.analysis.function.Sin,1,1,3,3,3,1,0,0,3,3,14,3,0,3,2,12,3,7,3,1,16,1,3,11,1,0.125,1.333333333,4,4,5,3,61,5,31,17,7,1,0,0
math.analysis.function.Sinc,3.6,12,3,18,14.8,10.8,2,2,5,5,16,5,0,5,3,79,54,65,38,1,18,1,5,11,1,0.138888889,2.8,4,14,16,9,158,16,43,23,74,3,0,0
math.linear.SingularMatrixException,1,1,1,1,3,1,11,1,1,1,40,1,0,1,0,6,1,4,1,6,47,6,1,39,6,0.142857143,1,1,1,3,1,3,0,47,44,0,0,0,0
math.linear.SingularOperatorException,1,1,1,1,3,1,11,1,1,1,40,1,0,1,0,7,1,4,1,6,47,6,1,39,6,0.142857143,2,1,2,3,1,3,0,47,44,7,0,0,0
math.linear.SingularValueDecomposition,7.692307692,81,7,100,31.53846154,22.53846154,12,12,13,13,24,13,0,13,2,458,293,409,281,1,26,1,13,11,1,0.154761905,3.923076923,10,51,92,35,335,92,69,35,445,12,0,0
math.analysis.function.Sinh,1,1,3,3,3,1,0,0,3,3,14,3,0,3,2,12,3,7,3,1,16,1,3,11,1,0.125,1.333333333,4,4,5,3,97,5,25,17,7,1,0,0
math.stat.descriptive.moment.Skewness,1.7,4,6,17,7.5,4.6,4,3,9,10,35,10,0,10,8,85,46,62,33,3,35,3,6,25,3,0.343596059,2,10,20,29,16,64,22,81,57,0,2,0,0
math.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,4,13,3,16,15.75,9.5,2,2,4,4,15,4,0,4,6,69,38,63,39,2,17,2,3,11,2,0.194444444,5,9,20,45,20,139,41,68,26,2,3,0,0
math.linear.SparseFieldMatrix,1.384615385,3,9,18,6.230769231,3.769230769,4,3,13,13,83,13,1,12,21,94,49,67,44,2,78,2,5,70,2,0.219373219,3.230769231,4,42,65,31,283,29,131,106,1,0,0,0
math.linear.SparseFieldVector,2,11,21,90,8.2,4.977777778,4,4,45,45,54,45,5,40,44,379,224,284,176,1,54,1,43,9,1,0.223484848,3.422222222,16,154,157,104,936,157,104,70,44,55,78,0
math.linear.SparseRealVector,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,1,0,1,0,2,75,2,0,71,2,0,0,0,0,0,0,0,0,107,86,0,2,0,0
