relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
math3\analysis\interpolation\MicrosphereInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,17,4,4,3,3,8,105,77,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.4,0,1,1,3,1,2,1,2,1,0.625,0.333333333333333,0.666666666666667,0.583333333333333,0.5,0.5,0,1,0,0,0,0,8,2,0,0,0,36,0,22,36,0,2,0,3,1,22,37,0
math3\analysis\interpolation\MicrosphereInterpolator.java,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,5,4,4,3,3,4,35,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,1,0,1,2,1,2,1,0.75,0.333333333333333,0.666666666666667,0.5,1,0.5,0,1,0,0,0,0,8,0,0,0,0,12,0,4,12,0,0,0,0,0,4,28,0
math3\analysis\interpolation\NevilleInterpolator.java,org.apache.commons.math3.analysis.interpolation.NevilleInterpolator,1,1,1,1,1,2,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,3,0,1,3,0,0,0,1,0,1,15,0
math3\analysis\interpolation\SmoothingPolynomialBicubicSplineInterpolator.java,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,16,2,2,4,4,6,69,63,1,0,1,1,1,0,3,0,1,1,0,0,1,0.25,0,0,0,0.333333333333333,0,1,1,0,1,5,4,3,1,0.666666666666667,0.444444444444444,0.5,0.5,1,0.333333333333333,0,1,0,0,1,0,8,2,0,0,0,45,4,20,41,0,2,0,0,0,19,57,0
math3\analysis\interpolation\SplineInterpolator.java,org.apache.commons.math3.analysis.interpolation.SplineInterpolator,7,0,0,1,1,2,51,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0,7,0,0,0,0,15,0,5,15,0,0,0,1,3,5,21,0
math3\analysis\interpolation\TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineFunction,11,2,2,2,2,4,44,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,12,0,3,12,1,0,0,0,2,3,9,0
math3\analysis\interpolation\TricubicSplineInterpolatingFunction.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,40,5,5,4,4,17,264,122,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,11,1,5,4,3,1,0.733333333333333,0.444444444444444,0.5,0.45,0.666666666666667,0.333333333333333,-0.333333333333334,1,0,0,0,0,6,1,0,0,0,97,0,33,97,0,1,1,0,1,33,23,0
math3\analysis\interpolation\TricubicSplineInterpolator.java,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,27,0,0,3,3,7,125,118,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,1,1,15,1,3,3,3,1,undefined,0.333333333333333,0.666666666666667,undefined,0,0,0,1,0,0,0,0,7,0,0,0,0,58,0,17,58,0,0,0,1,0,17,52,0
math3\analysis\interpolation\UnivariatePeriodicInterpolator.java,org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,6,4,4,3,3,7,50,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,1,2,1,2,1,0.625,0.333333333333333,0.666666666666667,0.583333333333333,1,0.5,-1,1,0,0,0,0,4,0,0,0,0,18,0,5,18,0,0,0,0,0,5,19,0
math3\analysis\polynomials\PolynomialFunction.java,org.apache.commons.math3.analysis.polynomials.PolynomialFunction,47,2,2,17,17,11,206,157,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.129411764705882,0.55,1,1,16,1,58,0,5,1,0.65625,0.767647058823529,0.602941176470588,0.382352941176471,0.8125,0.8125,-0.714285714285716,1,0,0,0,0,6,0,0,0,0,46,0,20,46,2,0,11,4,17,20,44,0
