relName,className,WMC,NA,NAIMP,NM,NMIMP,NumPara,SLOC1,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,ICP,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
time\chrono\BasicChronology.java,org.joda.time.chrono.BasicChronology,73,63,23,98,49,63,387,276,3,2,3,84,12,72,44,49,5,3,3,7,1,0.153061224489796,8,0,8,0.183673469387755,0.00443262411347518,0.219323671497585,0.314009661835749,104,0.266666666666667,1173,1170,47,10,1,0.77312925170068,0.0450680272108844,0.0204081632653061,0.520833333333333,0.520833333333333,-0.271875,0.208695652173913,0,1,7,22241.1575828019,26,19,0,0,58,128,20,50,108,9,19,10,1,109,43,274,0
time\chrono\BasicDayOfMonthDateTimeField.java,org.joda.time.chrono.BasicDayOfMonthDateTimeField,16,6,2,57,10,9,57,43,3,0,3,16,16,0,2,47,8,3,0,0,1,0.421052631578947,0,0,0,0.15,0.75,0.714285714285714,0.714285714285714,0,0.714285714285714,9,0,2,2,0.611111111111111,0.72962962962963,0.8,0.45,0.888888888888889,0.888888888888889,-0.333333333333333,0.714285714285714,0,0,1,0,5,1,0,0,0,30,3,18,27,0,1,0,2,1,17,111,0
time\chrono\BasicDayOfYearDateTimeField.java,org.joda.time.chrono.BasicDayOfYearDateTimeField,14,6,2,57,10,9,49,36,3,0,3,16,16,0,2,47,8,3,0,0,1,0.421052631578947,0,0,0,0.15,0.75,0.714285714285714,0.714285714285714,2,0.714285714285714,9,0,2,2,0.611111111111111,0.72962962962963,0.8,0.45,0.888888888888889,0.888888888888889,-0.333333333333333,0.714285714285714,0,0,1,0,5,1,0,0,0,23,3,16,20,0,1,0,2,1,15,105,0
time\chrono\BasicFixedMonthChronology.java,org.joda.time.chrono.BasicFixedMonthChronology,21,67,4,98,15,17,71,51,4,1,4,14,14,0,1,83,14,4,2,2,1,0.571428571428571,0,0,0,0.233333333333333,0.021978021978022,0.164835164835165,0.208791208791209,4,0.153846153846154,91,77,8,6,0.892857142857143,0.680952380952381,0.152380952380952,0.166666666666667,0.285714285714286,0,-0.297297297297297,0.153846153846154,0,1,12,871.669287848996,1,0,0,0,4,29,29,12,0,0,0,0,0,0,0,283,0
time\chrono\BasicGJChronology.java,org.joda.time.chrono.BasicGJChronology,43,71,8,98,8,16,109,65,4,1,4,7,7,0,1,90,7,4,2,2,1,0.285714285714286,0,0,0,0.40625,-0.285714285714286,0.0476190476190476,0.0476190476190476,0,0.0476190476190476,27,26,7,7,1.03571428571429,0.669642857142857,0.0357142857142857,0.09375,0.142857142857143,0,0.5,0.0476190476190476,0,1,20,1887.3443637876,1,0,0,0,2,45,45,20,0,0,0,0,0,0,0,278,0
time\chrono\BasicMonthOfYearDateTimeField.java,org.joda.time.chrono.BasicMonthOfYearDateTimeField,40,9,5,56,18,21,188,137,3,1,3,38,38,0,2,38,16,3,1,1,1,0.857142857142857,1,1,0,0.2,0.477941176470588,0.716666666666667,0.875,9,0.875,74,0,4,2,0.776470588235294,0.743790849673203,0.535947712418301,0.266666666666667,0.941176470588235,0.882352941176471,-0.0746268656716416,0.716666666666667,0,0,6,1727.17325762536,9,1,0,0,1,143,22,54,121,0,1,0,1,3,48,117,0
time\chrono\BasicSingleEraDateTimeField.java,org.joda.time.chrono.BasicSingleEraDateTimeField,17,3,2,53,16,15,57,39,2,0,2,29,29,0,1,37,15,2,0,0,1,0.566037735849057,0,0,0,0.234375,-0.0285714285714286,0.0857142857142857,0.0857142857142857,0,0.0857142857142857,108,96,10,10,0.8,0.66875,0.1,0.25,0.2,0.2,-0.466666666666667,0.0857142857142857,0,0,1,0,7,1,0,0,0,15,2,7,13,0,1,0,1,0,6,84,0
time\chrono\BasicWeekOfWeekyearDateTimeField.java,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,17,6,2,57,13,12,59,41,3,0,3,25,25,0,2,44,11,3,0,0,1,0.578947368421053,0,0,0,0.153846153846154,0.151515151515152,0.222222222222222,0.222222222222222,2,0.222222222222222,57,36,7,6,0.791666666666667,0.760683760683761,0.282051282051282,0.269230769230769,0.583333333333333,0.583333333333333,0.333333333333332,0.222222222222222,0,0,4,0,6,1,0,0,0,25,9,15,16,0,1,0,2,1,11,110,0
time\chrono\BasicWeekyearDateTimeField.java,org.joda.time.chrono.BasicWeekyearDateTimeField,27,7,3,56,17,16,107,77,3,0,3,36,36,0,2,39,15,3,0,0,1,0.803571428571429,0,0,0,0.274509803921569,0.375,0.742857142857143,0.742857142857143,22,0.742857142857143,81,26,7,3,0.8125,0.686274509803922,0.448529411764706,0.235294117647059,0.875,0.875,0.1,0.742857142857143,0,0,4,0,6,1,0,0,0,50,11,28,39,0,1,0,1,1,24,109,0
time\chrono\BasicYearDateTimeField.java,org.joda.time.chrono.BasicYearDateTimeField,23,6,2,56,18,17,85,57,3,0,3,38,38,0,2,38,16,3,0,0,1,0.857142857142857,0,0,0,0.277777777777778,0.477941176470588,0.758333333333333,0.758333333333333,18,0.758333333333333,75,0,6,3,0.676470588235294,0.697167755991285,0.535947712418301,0.361111111111111,0.882352941176471,0.882352941176471,0.166666666666667,0.758333333333333,0,0,1,0,5,1,0,0,0,51,3,25,48,0,1,0,1,1,24,102,0
time\chrono\BuddhistChronology.java,org.joda.time.chrono.BuddhistChronology,20,46,6,61,11,6,97,68,3,0,3,7,7,0,7,50,4,3,0,0,1,0.19672131147541,0,0,0,0.136363636363636,-0.0888888888888889,0.142857142857143,0.142857142857143,11,0.142857142857143,54,53,10,5,1.01666666666667,0.745454545454545,0.109090909090909,0.0757575757575758,0.5,0,-1,0.142857142857143,0,1,9,0,16,3,0,0,0,88,11,37,77,0,2,0,1,1,28,383,0
time\chrono\CopticChronology.java,org.joda.time.chrono.CopticChronology,25,74,7,104,13,10,112,75,5,0,5,10,10,0,6,91,7,5,0,0,1,0.336538461538462,0,0,0,0.128205128205128,-0.0909090909090909,0.155555555555556,0.155555555555556,22,0.155555555555556,77,76,12,7,1.01190476190476,0.769230769230769,0.0769230769230769,0.0659340659340659,0.333333333333333,0,-0.333333333333336,0.155555555555556,0,1,8,0,10,3,0,0,0,48,13,18,35,0,2,0,3,0,10,366,0
time\chrono\EthiopicChronology.java,org.joda.time.chrono.EthiopicChronology,24,74,7,104,13,10,110,73,5,0,5,10,10,0,6,91,7,5,0,0,1,0.336538461538462,0,0,0,0.128205128205128,-0.0909090909090909,0.155555555555556,0.155555555555556,22,0.155555555555556,77,76,12,7,1.01190476190476,0.769230769230769,0.0769230769230769,0.0659340659340659,0.333333333333333,0,-0.333333333333336,0.155555555555556,0,1,9,0,10,3,0,0,0,49,14,19,35,0,2,0,3,0,10,366,0
