relName,AvgWMC,CCMax,NTM,WMC,AvgSLOC,AvgSLOCExe,NA,NAIMP,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,SLOC,SLOCExe,stms,stmsExe,AID,CHM,DIT,NMA,NMI,NOA,PII,AMC,CBO,CC,DAC,DACquote,ICP,MPC,MPCNew,NIHICP,RFC,RFC1,UCL,ADD,MOD,DEL,bug
jscomp.ProcessDefines,2.857142857,8,4,20,12.42857143,8.571428571,10,10,6,7,18,7,4,3,11,304,60,193,113,1,20,1,7,11,1,0.145833333,4.714285714,15,33,10,6,46,27,103,46,279,41,36,9,24,1,0
jscomp.ProcessTweaks,2.857142857,5,1,20,13.71428571,9.142857143,13,13,7,7,18,7,5,2,10,388,64,233,128,1,20,1,7,11,1,0.145833333,6.571428571,13,46,12,5,61,32,172,61,109,42,45,388,0,0,0
rhino.jstype.Property,1.230769231,2,10,16,3.307692308,1.230769231,6,6,13,13,24,13,0,13,7,59,16,36,16,1,26,1,13,11,1,0.154761905,0.153846154,6,2,3,3,2,2,5,2,28,26,11,59,0,0,0
rhino.jstype.PropertyMap,2.0625,7,9,33,6.3125,3.25,5,5,15,16,27,16,1,15,10,114,52,79,44,1,29,1,16,11,1,0.156862745,0.3125,4,5,4,4,6,5,9,6,32,32,15,114,0,0,0
jscomp.PropertyRenamingPolicy,1,1,2,2,0,0,7,5,2,2,19,2,0,2,1,7,0,1,0,2,22,2,2,17,2,0.148148148,0,1,0,5,1,0,0,0,0,19,19,0,0,0,0,0
jscomp.webservice.common.Protocol,1.333333333,2,2,4,4,2,3,3,1,3,14,3,1,2,0,215,6,86,32,1,16,1,3,11,1,0.125,0,3,0,0,0,0,0,0,0,14,14,0,215,0,0,0
rhino.jstype.PrototypeObjectType,2.419354839,12,17,75,8.129032258,4.870967742,26,8,31,31,182,31,2,29,26,285,151,178,116,3,171,3,8,151,3,0.425703815,2.935483871,14,91,3,3,133,82,344,37,340,257,17,72,41,114,3
rhino.jstype.ProxyObjectType,1.298245614,2,40,74,3.543859649,1.438596491,21,3,57,57,178,57,0,57,21,259,82,129,68,3,133,3,4,121,3,0.345557724,1,18,57,2,2,76,57,153,1,370,272,27,84,54,22,0
jscomp.PureFunctionIdentifier,5,14,3,50,23.9,16.9,8,8,5,10,21,10,7,3,10,702,169,453,302,1,23,1,10,11,1,0.151515152,6.9,23,69,7,5,86,63,221,86,110,59,54,262,59,15,0
jscomp.jsonml.Reader,2.207792208,52,51,170,10.75324675,7.324675325,7,7,76,77,88,77,75,2,166,1118,564,726,508,1,90,1,77,11,1,0.164529915,4.090909091,23,315,4,4,336,182,1164,336,212,130,222,1118,0,0,0
jscomp.RecordFunctionInformation,2.2,4,2,11,12,8.2,4,4,5,5,16,5,1,4,8,69,41,41,23,2,19,2,5,11,2,0.185185185,2.6,9,13,4,4,20,13,82,20,218,28,16,3,7,0,0
rhino.jstype.RecordType,3.4,10,4,34,13.3,8.5,29,3,9,10,186,10,0,10,15,142,85,89,56,4,187,4,6,176,4,0.485978836,7,9,70,0,0,116,57,434,30,344,264,13,25,42,51,1
rhino.jstype.RecordTypeBuilder,1.5,2,2,6,5.5,2.75,4,4,4,4,15,4,0,4,5,42,11,29,14,1,17,1,4,11,1,0.133333333,1,7,4,2,2,9,3,23,9,169,18,6,22,6,0,0
jscomp.ReferenceCollectingCallback,2.384615385,11,7,31,6.769230769,3.846153846,6,6,12,13,24,13,2,11,24,400,50,258,143,1,26,1,13,11,1,0.154761905,2.615384615,13,34,4,4,40,23,129,40,87,42,32,115,38,14,1
